date,recorded_animal,task_condition,succ_rate,neuron_num,follower_percentage,role,selfvspartner_pullnum,self_pullnum,partner_pullnum,selfvspartner_followerPer,r_pathlength,r_netdisplacement,r_tortuosity,r_meanspeed,r_meancurvature,r_radiusofgyration,r_convexhullvolume,r_anglespannet,r_anglespantotal
20240814,kanga,MC_withKoala,0.6820809248554913,19,0.5,leader,1.1358024691358024,92.0,81.0,1.1571428571428573,0.1379919024118748,0.14649547289768966,-0.10262799718396325,0.1379919024118748,-0.17373332464248625,0.1616433426310225,0.13811459543775226,-0.023141792265502843,-0.1521865417133904
20240815,kanga,MC_withKoala,0.7230769230769231,20,0.5,leader,1.2413793103448276,72.0,58.0,0.935483870967742,0.0026344413866413096,-0.06260789871131658,0.08438195592969287,0.0026344413866413096,0.026344413866413095,-0.005787787894893787,0.014070311951379722,-0.02937801303890915,0.03724142142024761
20240819,kanga,MC_withVermelho,0.6491228070175439,21,0.4868421052631579,follower,2.0,76.0,38.0,1.0882352941176472,0.08859686673055862,-0.08862421566302676,0.18284128801578936,0.08859686673055862,-0.1612903292308904,0.09228897261375832,0.07168155199901037,-0.08705165204610837,-0.13524047105498144
20240821,kanga,MC_withVermelho,0.6329113924050633,19,0.5714285714285714,follower,1.6333333333333333,49.0,30.0,1.7142857142857142,0.3162460852442876,-0.00540940536322325,0.19279937228544752,0.3162460852442876,-0.079099795405623,0.3479370355326049,0.23597255093909725,-0.3419152446565639,-0.3521216698701927
20240822,kanga,MC_withVermelho,0.7529411764705882,16,0.5714285714285714,follower,1.3611111111111112,49.0,36.0,1.7142857142857142,0.08637101806381202,-0.28914901639158624,0.308679442517036,0.08637101806381202,-7.05069535214792e-05,0.008742862236663422,-0.004371431118331711,-0.20284850528129567,-0.029753934386064225
20250415,kanga,MC_withDodson,0.6666666666666666,42,0.8125,follower,0.8421052631578947,48.0,57.0,3.3080357142857144,-0.304894278758766,-0.37096556388152574,0.16694264729045682,-0.304894278758766,0.1305138614914661,-0.25961617539608606,-0.3522354132099135,0.06384538315888691,0.25853036956005054
20250417,kanga,MC_withDodson,0.4881889763779528,29,0.49206349206349204,follower,0.984375,63.0,64.0,1.1663727219282773,-0.04839797538418971,-0.023617154108241206,0.000978538300117497,-0.04839797538418971,0.0668315211999166,-0.08738082550238403,-0.06352564856438452,0.09060735719466335,0.0542692051848947
20250422,kanga,MC_withDodson,0.688,34,0.7543859649122807,follower,0.8382352941176471,57.0,68.0,3.017543859649123,-0.040553026467178316,-0.06852845559681453,0.07993905936695583,-0.040553026467178316,-0.21861679495975267,-0.05828484539407403,-0.041655187058612424,-0.07977697692703904,0.06259623829586038
20250423,kanga,MC_withDodson,0.6211180124223602,28,0.38461538461538464,leader,0.9397590361445783,78.0,83.0,0.6384615384615384,0.007753592339101303,0.019832124258178378,0.03186797585245306,0.007753592339101303,-0.09368331294125153,0.04710485180690718,0.060591834444463206,-0.007084933917197153,-0.07204438826643852
20250424_MC,kanga,MC_withDodson,0.75,24,0.5740740740740741,leader,0.9310344827586207,54.0,58.0,1.6648148148148147,0.06194724041730763,0.12156907673279634,-0.04303903657300943,0.06194724041730763,-0.32063891639998426,0.10384263562876676,0.24698841271614533,0.09652333091484488,-0.12690606975336438
20250428_MC,kanga,MC_withDodson,0.5769230769230769,19,0.3103448275862069,leader,1.2608695652173914,58.0,46.0,0.5098522167487685,-0.046264235508725424,0.022181482778156025,-0.07949119134375912,-0.046264235508725424,-0.206423594833452,-0.008193568128257634,-0.04540413719691937,0.07940065467935849,0.01738303956492227
20250429_MC,kanga,MC_withDodson,0.7536231884057971,24,0.5151515151515151,follower,0.9166666666666666,33.0,36.0,0.9272727272727272,0.14327511073363777,0.19978268066125687,-0.0790771614667569,0.14327511073363777,-0.2099807923937562,0.14745466472236698,0.20245759521404358,-0.022736773698686975,-0.11920087975855745
20250430_MC,kanga,MC_withDodson,0.6902654867256637,23,0.5254237288135594,follower,1.0925925925925926,59.0,54.0,1.1349152542372882,0.005611491916252704,-0.15416989509496362,0.20251055983184887,0.005611491916252704,-0.026099282714654504,-0.06611038913835217,0.06543817916921774,-0.15913840356247905,0.01391182370904316
