,unique_neuron,pull_encoding,gaze_encoding,juice_encoding,partner_PC1_encoding
355,20240808_54,Predictive,None,None,Both
356,20240808_58,None,Reactive,Both,Both
357,20240808_64,None,Both,Predictive,Both
358,20240808_109,Reactive,Reactive,Reactive,Both
359,20240808_129,None,None,None,Reactive
360,20240808_137,None,None,None,Reactive
361,20240808_155,None,None,None,Reactive
362,20240808_166,None,None,Reactive,Reactive
363,20240808_173,None,None,Predictive,Both
364,20240808_207,None,None,None,None
365,20240808_219,None,None,None,Reactive
366,20240808_223,Predictive,Predictive,None,Both
367,20240808_225,None,None,None,None
368,20240808_250,None,Reactive,None,Reactive
369,20240808_255,Both,Reactive,Both,Both
370,20240808_263,Reactive,Reactive,None,Both
371,20240808_264,None,None,None,Reactive
372,20240808_290,Reactive,None,Both,Both
373,20240808_295,None,None,None,Reactive
374,20240808_303,None,Reactive,Reactive,Both
375,20240808_304,None,None,None,Reactive
376,20240808_306,Predictive,None,None,None
377,20240809_8,Reactive,None,Reactive,None
378,20240809_49,Reactive,None,None,None
379,20240809_71,Reactive,Reactive,Both,None
380,20240809_77,Reactive,Reactive,Both,Both
381,20240809_140,None,None,Reactive,None
382,20240809_160,Reactive,None,Reactive,None
383,20240809_171,Reactive,Reactive,Both,None
384,20240809_192,Reactive,None,Reactive,None
385,20240809_201,Reactive,None,Reactive,None
386,20240809_245,None,None,Reactive,None
387,20240809_259,None,None,Both,None
388,20240809_274,Reactive,Reactive,Both,None
389,20240809_285,Reactive,None,None,None
390,20240809_286,Reactive,None,None,None
391,20240809_297,None,None,Reactive,None
392,20240809_318,None,None,Reactive,None
393,20240809_321,Reactive,Reactive,Both,Both
394,20240809_359,Reactive,None,None,None
395,20240809_382,Reactive,None,None,None
396,20240809_386,Reactive,None,Reactive,None
397,20240809_393,Reactive,Reactive,Reactive,None
398,20240809_395,Both,Reactive,Both,None
399,20240809_397,Reactive,Reactive,Reactive,Reactive
400,20240809_399,None,Reactive,Reactive,None
401,20240812_1,None,None,None,Predictive
402,20240812_56,Predictive,None,None,Reactive
403,20240812_57,Reactive,Both,Predictive,Both
404,20240812_61,Reactive,Predictive,Predictive,Both
405,20240812_101,Predictive,Both,None,Both
406,20240812_110,Reactive,None,Predictive,Reactive
407,20240812_124,Reactive,Both,Predictive,Reactive
408,20240812_131,Reactive,Reactive,None,Both
409,20240812_132,None,None,None,Reactive
410,20240812_147,Both,Reactive,None,Reactive
411,20240812_160,None,None,None,Predictive
412,20240812_165,Reactive,None,None,Both
413,20240812_211,None,None,None,None
414,20240812_216,None,Predictive,None,Both
415,20240812_222,None,None,None,None
416,20240812_223,None,None,None,Reactive
417,20240812_234,None,None,None,Reactive
418,20240812_241,None,Predictive,Predictive,Reactive
419,20240812_251,Both,Reactive,Both,Both
420,20240812_255,None,Predictive,Reactive,Both
421,20240812_271,Reactive,None,Reactive,Both
422,20240812_284,None,Predictive,Predictive,None
423,20240812_293,Reactive,Predictive,None,Both
424,20240813_8,None,None,None,Reactive
425,20240813_40,None,Reactive,None,Reactive
426,20240813_53,None,None,Both,None
427,20240813_54,Both,Both,Reactive,Predictive
428,20240813_55,None,Both,Both,Both
429,20240813_59,Both,Predictive,Both,None
430,20240813_66,None,None,None,None
431,20240813_75,Reactive,Predictive,Both,Both
432,20240813_102,None,None,Both,Reactive
433,20240813_108,Predictive,Predictive,Predictive,Reactive
434,20240813_121,Predictive,Predictive,Both,Reactive
435,20240813_131,None,None,Predictive,Reactive
436,20240813_141,None,None,None,None
437,20240813_151,None,None,None,Reactive
438,20240813_195,None,None,None,None
439,20240813_198,None,None,Reactive,None
440,20240813_200,None,None,None,None
441,20240813_204,None,None,Both,None
442,20240813_206,Predictive,None,None,Reactive
443,20240813_219,None,None,None,None
444,20240813_221,None,Predictive,Predictive,None
445,20240813_222,None,None,Reactive,None
446,20240813_230,None,None,Predictive,None
447,20240813_234,Both,Both,Both,Both
448,20240813_235,None,None,None,None
449,20240813_243,None,None,None,Reactive
450,20240813_259,None,Reactive,Reactive,Reactive
451,20240813_261,None,Reactive,None,Reactive
452,20240813_281,None,None,None,None
453,20240813_282,Predictive,None,None,None
454,20240814_3,None,Reactive,Reactive,None
455,20240814_44,Both,Reactive,Reactive,Both
456,20240814_56,Both,Predictive,Both,Both
457,20240814_70,Reactive,None,Both,Reactive
458,20240814_100,Reactive,Both,Reactive,Reactive
459,20240814_112,Both,None,Both,None
460,20240814_118,Both,None,Both,Reactive
461,20240814_119,None,None,None,None
462,20240814_141,None,None,None,None
463,20240814_154,Both,Predictive,Both,Both
464,20240814_186,Reactive,None,None,None
465,20240814_194,Reactive,Reactive,Reactive,None
466,20240814_208,None,None,Reactive,None
467,20240814_220,None,None,Reactive,None
468,20240814_227,Both,Both,Reactive,Reactive
469,20240814_243,Reactive,None,Reactive,Reactive
470,20240814_269,Predictive,None,Reactive,Both
471,20240814_274,None,Reactive,None,Reactive
472,20240814_283,None,Reactive,Reactive,Predictive
473,20240815_5,Reactive,None,Reactive,Reactive
474,20240815_46,None,None,None,None
475,20240815_58,Both,Reactive,Both,Reactive
476,20240815_61,Predictive,Reactive,Reactive,Reactive
477,20240815_85,Reactive,Predictive,Both,Both
478,20240815_107,None,Predictive,Reactive,None
479,20240815_133,None,None,Reactive,Predictive
480,20240815_135,Reactive,None,Reactive,Reactive
481,20240815_136,None,None,None,None
482,20240815_181,Reactive,Predictive,Both,Both
483,20240815_238,Reactive,Reactive,Both,Reactive
484,20240815_267,Reactive,None,Reactive,None
485,20240815_268,Both,Reactive,Both,Both
486,20240815_300,None,None,Reactive,Reactive
487,20240815_302,Both,Both,Both,Reactive
488,20240815_326,Both,Both,Both,Reactive
489,20240815_328,Reactive,None,Reactive,Reactive
490,20240815_330,None,None,Reactive,None
491,20240815_334,None,None,Reactive,Reactive
492,20240815_336,Both,Predictive,Both,Reactive
493,20240819_3,None,None,Reactive,Reactive
494,20240819_63,Both,Reactive,Both,Both
495,20240819_82,Reactive,Reactive,Both,Both
496,20240819_102,None,Reactive,Reactive,None
497,20240819_124,None,Reactive,Reactive,Reactive
498,20240819_149,None,None,Both,None
499,20240819_156,None,None,Reactive,Reactive
500,20240819_162,None,None,Reactive,Reactive
501,20240819_177,None,Reactive,Both,Both
502,20240819_183,None,None,Reactive,Reactive
503,20240819_234,None,None,Reactive,Reactive
504,20240819_235,None,Reactive,Reactive,Reactive
505,20240819_242,None,None,None,None
506,20240819_249,Reactive,None,None,None
507,20240819_258,None,None,Reactive,Predictive
508,20240819_268,None,None,Both,Reactive
509,20240819_301,Predictive,None,Reactive,None
510,20240819_312,None,Both,None,None
511,20240819_337,None,Predictive,None,None
512,20240819_339,None,None,Reactive,None
513,20240819_341,Both,Reactive,Both,Reactive
514,20240821_65,Reactive,Reactive,Both,Both
515,20240821_70,Reactive,Both,Both,Both
516,20240821_95,Reactive,Reactive,Reactive,Reactive
517,20240821_102,Reactive,Reactive,Reactive,None
518,20240821_125,Reactive,None,Both,None
519,20240821_157,Reactive,Reactive,Reactive,Both
520,20240821_257,None,None,Reactive,None
521,20240821_261,Reactive,Reactive,Reactive,None
522,20240821_277,Reactive,None,Reactive,None
523,20240821_297,Reactive,None,Reactive,None
524,20240821_299,Reactive,Reactive,Reactive,Both
525,20240821_335,Reactive,None,None,None
526,20240821_350,Reactive,Reactive,Both,None
527,20240821_362,Reactive,Reactive,Reactive,None
528,20240821_366,None,None,Reactive,None
529,20240821_368,Reactive,None,Reactive,Reactive
530,20240821_370,Reactive,None,Reactive,None
531,20240821_372,Reactive,None,Reactive,None
532,20240821_374,Reactive,None,Reactive,None
533,20240822_52,None,Reactive,Reactive,None
534,20240822_62,Both,Reactive,Reactive,Both
535,20240822_72,Both,Reactive,Reactive,Both
536,20240822_136,Predictive,None,Reactive,None
537,20240822_232,Both,None,Reactive,Reactive
538,20240822_233,Predictive,None,None,None
539,20240822_239,Predictive,Reactive,Reactive,None
540,20240822_260,Predictive,None,Reactive,None
541,20240822_278,Both,Reactive,Reactive,Both
542,20240822_305,None,None,Reactive,Reactive
543,20240822_307,Both,None,None,Reactive
544,20240822_314,Reactive,Both,Reactive,Both
545,20240822_331,None,None,Reactive,None
546,20240822_333,Predictive,None,None,None
547,20240822_335,None,None,None,None
548,20240822_337,None,None,Reactive,None
549,20250415_2,None,None,Reactive,None
550,20250415_4,None,Predictive,None,None
551,20250415_9,None,None,None,None
552,20250415_12,Reactive,None,Reactive,Both
553,20250415_14,Reactive,None,Both,Both
554,20250415_17,Both,Both,Both,Both
